mutual,tweet1,type1,tweet2,type2,tweet3,type3,tweet4,type4,tweet5,type5,tweet6,type6,tweet7,type7,tweet8,type8,tweet9,type9,tweet10,type10,rated,p1,c1,p2,c2,p3,c3,p4,c4,p5,c5
artisanfartisan,Nore: So you was under a conservative. What was voting for trump like? Britney: it was a conservatorship Nore: *smokes* mmmm so y’all went on a cruise. That’s hard.,retweet,Me waiting for Joe Biden to turn America into a communist utopia like the Republicans promised,retweet,The privatization of the USPS is still going on under Biden. Where is the outrage? Or do we only care about these things when a Republican is in office? Jesus Christ.,retweet,"Nancy Pelosi’s husband just bought $5 million dollars in Nvidia stocks while she is pushing congress to vote for a bill that’ll give $53 Billion dollars in subsidies to semiconductor companies, where Nvidia will get the largest share of that money.",retweet,there is not one member of the american government that is seeing heaven,retweet,Some of you said that voting for Democrats would prevent this or some shit,retweet,Black people are not the native Israelites. God did not take us away and put us in slavery as punishment. Black people are just so ashamed of and hurt by our subjugation and general low position in the social hierarchy that we’ve made up these fairy tales as a coping mechanism.,retweet,"proudly voted for governor phil murphy today to ensure protected reproductive rights. importantly as well, to support vaccine mandates, raised minimum wage, and clean energy acts. (my polling place didn’t have any stickers, only styluses for the voting machine 🥲)",retweet,we really told the government we needed covid tests for free and all they heard was “four free”,retweet,It is wild how people can be anti vax right now when the Covid vaccine has led us to trials for a HIV vaccine,retweet,0,,,,,,,,,,
baby_iris23,"I live in Texas, wear Boots, drive a pick up, shoot guns and hate Nancy Pelosi. Trump would be proud",tweet,The people who don’t want the country to open are the same people who drank bleach after trump told them to,tweet,"President Trump will host the event at the El Paso County Coliseum, according to the campaign. It will be his seventh rally in Texas and his first in El Paso.",retweet,"All rifles combined kill 360 people in the U.S. per year Illegal aliens kill 445-600 Americans per year: Does this mean you’ll be calling for illegals to be deported? Also, senior law enforcement laughed at the 445-600 number, they said it was 1,000+",retweet,In some states leaders support abortion until the last minute of pregnancy — even after a child is born. Not in Texas. I formally signed the Born Alive Act to make it illegal to kill a child who survives an abortion. It also ensures the baby receives needed medical care.,retweet,BREAKING NEWS: TRUMP SPOTTED MOVING TO AUSTIN,retweet,Her: “My liberal parents are coming over for dinner. Please don’t be political” Me after my 2nd Scotch...,retweet,"I don’t care how conservative I am, never and I mean NEVER is it ok to talk shit about #coachpop. #gospursgo",quote,President @realDonaldTrump won the First Democratic Presidential Debate! #SoMuchWinning #KAG #MAGA #DemDebate,retweet,For everyone already using death to push your agenda. It’s not @realDonaldTrump fault... It’s not the fault... It’s not the guns fault... It’s not the Dems/Republicans fault... It’s the coward that pulled the trigger fault....PERIOD! #elpasotx #walmartshooting,retweet,0,,,,,,,,,,
bcballoon,Donald Trump and Republicans just celebrated voting to let thousands of Americans die so that billionaires get tax breaks. Think about that.,retweet,"Senate Republicans just voted down my amendment to make the modest middle-class tax cuts permanent, instead of a tax increase in a few years. Proof that this GOP tax bill was never about helping the middle class.",retweet,"Biden Says He's Not Sorry for Calling Trump Racist, Clown, Liar, 'Putin's Puppy' During Debate: 'Everything I Said Was True'",retweet,Can u imagine how many zillions of GOP congress hearings there would've been if Clinton or Obama settled a case charging they defrauded ppl?,retweet,"There are no Democratic presidential candidates who could or would be as bad as Donald Trump. No matter what it is you hate about any particular candidate, and there’s plenty to hate, none are even in the ballpark of being as bad as Trump. Recognize the crisis we’re facing, FFS.",retweet,"We have a president elect who LITERALLY wont sit 4 Intel briefings &amp; spends his time freaking out over a TV satire. Trump fans, plz defend.",retweet,"51 Senate Republicans just voted for the #GOPTaxScam, a massive tax giveaway to the super wealthy paid for in part by cutting $400 billion from Medicare. RT to spread their shame!",retweet,"NEW ARTICLE✏️: With your help, we fought to put Joe Biden and Kamala Harris in the White House. Together, we held the House and retook the Senate. The Biden War Room is rebranding, and with your help we'll fight, and win, elections up and down the ballot.",retweet,"If it were a national emergency, Republicans would’ve funded the wall during the two years they had control of the House, Senate and White House. But they didn’t. Because there’s no national emergency on the border. There is a national emergency, though. Trump’s still in the WH.",retweet,"How can it be that after three years of Donald Trump, Republican sycophants continue to drag themselves to such new lows that their shamelessness still carries with it the ability to shock? The arguments put forward by Trump lawyers and GOP senators today were just ridiculous.",retweet,0,,,,,,,,,,
bethanylooi,"Just watched the film 180° South, looked up Doug to only learn of this, sad to hear - a true friend of conservation",reply,"problem is calculating the s-delegates before first votes are cast, gives competing candidate illusion of losing from the start",reply,Is there a tv tax in UK? Heard that was the case which may be a reason there are less ads. As with many other way h little tv and stream,reply,As a Florida Alum that grew up in Maryland this is a big deal. Lacrosse in that part of the country is like college football in the south - congratulations!,reply,"Fozz is retrogaming royalty, keep the posts coming - with everything devolving into politics i love seeing these systems and games here",reply,Why Not? It's a truck and considering the company and I believe production is already based in ATS States it would be a nice addition. With that said I believe the modders may get this done before the holidays,reply,"fantastic response, the automatic dismissal of an opposing view left or right is killing us as a society",reply,"some of the best trails in the country are found in NH, love hiking up there",reply,"While made as a private citizen she has thrown the University and its reputation under the bus. All I know is that a majority of us, private and public sector alike would be let go making these comments while linking them to our place of employment",reply,"Will pray for your daughter and family, while not quite the same we lost our son in the eighth month of pregnancy and our grief was and still is there years later",reply,0,,,,,,,,,,
bethyycakes,"Following Stefan's passing, you can help in the battle against cancer by donating to any of these charities American Cancer Society: Cancer Research Institute: Cancer Research UK: (meme from /r/dankmemes)",retweet,"To all gamers, we appreciate all your blessings to his survival after random gunfire. With Eric’s encouragement, now, MSI promises to donate $1 for every retweet this tweet receives up to $10K towards anti-violence charity. #BulletProofMonitor #OptixMonitor",retweet,"This is stupid to complain about tbh. We have mice w/ full control + Keyboards for better movement. They get assistance in aiming. They'd legit not be able to play without it. Which isn't fair to say about most console players, we have more advantages tbh. Plus he missed a lot..",retweet,dude they stormed the US Congress,reply,Just a reminder that ketchup is the best condiment and I won’t accept any other answers here because there are none and if you dare say any condiment that is white whether it be mayo or ranch or blue cheese then you’re blocked on sight anyways good day to you all,retweet,They got us in the first half not gonna lie,reply,"RT for a chance to win: 🛒 36,000 FIFA Points ⚽ North London Derby Tickets #ScoreMoreWithXbox #Sweeps. Open to 48 US/DC 18+ only. Void in NY, FL. Ends on 10/31/19. Rules:",retweet,🔥 #GFUEL x GIVEAWAY 🔥 30 Winners will receive a crap ton of G FUEL!!!! Go to the link below to enter!!! Help us win the fight against T-Series!!!! ENTER HERE: 👈👈👈👈,retweet,RT to donate $5 in Xbox products as part of #GiveWithXbox! 🎮 Join us in helping level the playing field for gamers with disabilities. Learn more:,retweet,IF KSI LOOSES THE REMATCH AGAINST LOGAN PAUL ILL GIVE EVERYONE THAT RT’IS THIS A 5$ GIFTCARD,retweet,0,,,,,,,,,,
bigt512,Donald Trump and Republicans just celebrated voting to let thousands of Americans die so that billionaires get tax breaks. Think about that.,retweet,"Senate Republicans just voted down my amendment to make the modest middle-class tax cuts permanent, instead of a tax increase in a few years. Proof that this GOP tax bill was never about helping the middle class.",retweet,"Biden Says He's Not Sorry for Calling Trump Racist, Clown, Liar, 'Putin's Puppy' During Debate: 'Everything I Said Was True'",retweet,Can u imagine how many zillions of GOP congress hearings there would've been if Clinton or Obama settled a case charging they defrauded ppl?,retweet,"There are no Democratic presidential candidates who could or would be as bad as Donald Trump. No matter what it is you hate about any particular candidate, and there’s plenty to hate, none are even in the ballpark of being as bad as Trump. Recognize the crisis we’re facing, FFS.",retweet,"We have a president elect who LITERALLY wont sit 4 Intel briefings &amp; spends his time freaking out over a TV satire. Trump fans, plz defend.",retweet,"51 Senate Republicans just voted for the #GOPTaxScam, a massive tax giveaway to the super wealthy paid for in part by cutting $400 billion from Medicare. RT to spread their shame!",retweet,"NEW ARTICLE✏️: With your help, we fought to put Joe Biden and Kamala Harris in the White House. Together, we held the House and retook the Senate. The Biden War Room is rebranding, and with your help we'll fight, and win, elections up and down the ballot.",retweet,"If it were a national emergency, Republicans would’ve funded the wall during the two years they had control of the House, Senate and White House. But they didn’t. Because there’s no national emergency on the border. There is a national emergency, though. Trump’s still in the WH.",retweet,"How can it be that after three years of Donald Trump, Republican sycophants continue to drag themselves to such new lows that their shamelessness still carries with it the ability to shock? The arguments put forward by Trump lawyers and GOP senators today were just ridiculous.",retweet,0,,,,,,,,,,
bordenj66,Biden’s final pitch to the American people before the election is that a nudist communist illegal alien who attacked Paul Pelosi is basically the same thing as the Jan 6th “insurrection” and it’s all Trump’s fault Biden is a moron and his party deserves its imminent humiliation,retweet,"Twittergate: 63% want FBI ‘censorship’ of social media investigated @Rasmussen_Poll “Every political category — 52% of Democrats, 75% of Republicans, and 63% of unaffiliated voters — believe Congress should investigate.”",retweet,"If Trump is the nominee in 2024, I’d still vote for him over a Democrat, but pretending he’s the best option for us right now, especially given his pointless attacks on other Republicans during a midterm election, is just silly and cultish. We can do better.",retweet,"I love all the cosplayers pretending to care about the constitution for the last 40 years. Trump is a product of your methods not the symptom. And the other half of America is so constitutionally-minded, they voted for Biden! So wipe that year, let’s raise a glass &amp; have a cigar!",retweet,"BREAKING: In the 2022 election, Republicans have taken the lead in Florida early voting, including mail-in and in-person 🔴814,652 Republicans 🔵807,311 Democrats ✅Republicans lead Democrats by 7,341",retweet,"The GOP has lost the popular vote in 7/8 of the last presidential elections... We’re behind the times. And we have to be honest with ourselves. Joe Biden turns 80 years old tomorrow. Happy birthday, Mr. President—but it’s time for a younger generation to lead. #RJCinVegas",retweet,"PETITION 👉 Tell the Republican Senators Who Voted for Gay Marriage: There's Time to Change Your Mind! If your senator is on this list, contact him/her now using this form to urge him/her to reconsider and vote no!",retweet,"@elonmusk Thank you, Elon. I'm absolutely voting Republican tomorrow. I don't want a nuclear war with Russia. I don't want higher taxes. I don't want a government that chooses to help everyone else, except Americans.",retweet,"@gregkellyusa Obama &amp; The Hill knew they were in the cat birds seat politically. Can we afford to be that cocky? When Mr. Trump seems to be all set to reproduce, in GA, his voter suppression/disruption act from '21? How about at least acting like we're in synch? Fake it tell ya make it!",reply,"Nancy Pelosi's classless act of ripping up President Trump's SOTU speech defines her dishonorable legacy as Speaker. Nobody is more responsible for the polarization of US politics. Her lies, vicious smears, pious hypocrisy and corrupt personal enrichment top off a shameful tenure",retweet,0,,,,,,,,,,
bossymama57,"Don’t know who needs to hear this, but losing to Obama’s Vice President will do wonders for Trump’s Obama inferiority complex.",retweet,Texas has never been a Republican state; it's been a nonvoting one. About time we changed that. #vote #Primaries2018 #Election2018,quote,The blowing roof off #SD14 Democratic Convention. Sometimes politics is a beautiful thing.,retweet,Trump is now just saying all the names of countries that he's heard of. #Debates2016,retweet,More than 30 progressive groups today called for Senate to reject David Whitley as TX Secretary of State amid bogus state claims of mass illegal voting. Some had never opposed any nomination before. ⁦⁩ explains opposition. #1u #WorkersDefense,retweet,"Walked to City Hall and back to vote in my district’s ACC run-off. Remember, these small off-season races may not be as popular and handsome as Beto, but they matter. You matter. Your vote matters. #ivoted #election #ATX",tweet,"Holy shit. I'm just a progressive, 28-year-old rules nerd that got my start registering voters on campus. And the #TDP20 Youth Caucus just elected me to a 4-year term on the Democratic National Committee.",retweet,"Trump: ""I was in Little Haiti in Florida."" Does he know where the real Haiti is? #Debate #debate2016 #debatenight",retweet,The has endorsed total badass in her bid to go to the Texas Senate. Fantastic decision on their part.,retweet,"With @realDonaldTrump in Austin, likens sham Trump economic plan to his pro wrestling foray. #TxAFL-CIO",retweet,0,,,,,,,,,,
br26,"Newsom might not be super popular in CA, but the state's high Democratic lean is good enough to not lose. The days of an Arnold Schwarzenegger-type Republican who has crossover appeal and could convince enough people to vote YES on a recall is long gone.",reply,"The Republican nominee will either Trump or the short and fat Italian Trump, Ron DeSantis.",reply,"Editorials: Vogue: Why Kim Kardashian and Julia Fox love Balenciaga Teen Vogue: Bestie, it’s time to kill your landlord in the fight against American capitalism",retweet,Libertarians are Republicans that like weed.,reply,Trump has to be one of the first cast members of Home Alone 2 to sell stolen nuclear secrets to the Saudis for $2 billion,retweet,"The Good Morning America cheating scandal is giving what a scandal needs to. High stakes (co-anchors on the most watched American newscast), audacity (65 photos of broad daylight cheating), and evidence hiding in plain sight (the guy’s anniversary post)",retweet,@POTUS The Federal government already subsidizes fossil fuels though.,reply,i called a conservative morning show and tried to name as many punk bands as i could before they caught on.,retweet,"Was Cal Jacobs in 1992 a fan of merengue and bachata? He has a cassette of Juan Luis Guerra, who is a popular musician across Latin America. #Euphoria",tweet,It's not her fault that the Senate is a pile of shit.,reply,0,,,,,,,,,,
brandonleuschel,Senator Dino Melaye of the Peoples Democratic Party(PDP) raises his concerns over alleged inconsistencies in the number of votes and overvoting in Ekiti state #NigeriaDecide2023 #ElectionDay #2023Verdict #CTVTweets,retweet,"""We are Nigerians and must defend our rights': PDP agent Senator Dino Melaye rages at the INEC National Election Results Collation Centre in Abuja. #ElectionResults #NigeriaDecides2023 #CTVTweets",retweet,The woman that APC thugs wounded with bottle came back to vote. This is the Hero of this election. ❤️🇳🇬 #NigeriaElections2023 #ObiWon #SOSREX #PeterObiForPresident2023 Labour party casted,retweet,Donald Trump Says he wants to Pass a Bill that Only Recognizes Genders as Male &amp; Female in the U.S. So men Can’t play Women Sports😳🇺🇸,retweet,Trump supporter gets karma after Talking sh*t to a car full of black teens at a BLM protest,retweet,I don’t understand why curable blindness is a thing. Why don’t governments step in and help? Even if you’re thinking purely from a financial standpoint it’s hard to see how they don’t roi on taxes from people being able to work again.,retweet,VOTING IS NOW OPEN! Help us crown the best fanbase in college football 👑 (Sponsored by #HamptonByHilton),retweet,"He saw that new Teanna Trump, give him a break😭",quote,Bill Russell will be remembered as one of the most impactful athletes in American history -1st Black head coach of any North American pro sports team -Received Presidential Medal of Freedom in 2011 -11x NBA champ (2 as coach) -5x league MVP -2x NCAA champ -Olympic gold medalist,retweet,Electrically charged stones discovered in the Democratic Republic of the Congo.,retweet,0,,,,,,,,,,
